"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc43a3.6",6.55195898295236e-14,0.323630513084035,0.39,0.178,1.834417476047e-09,"6","Slc43a3"
"Adk.6",6.69088199026582e-14,-0.359584330387442,0.177,0.373,1.87331313963462e-09,"6","Adk"
"Acss2",6.72486525290413e-14,0.147572291783319,0.193,0.053,1.8828277735081e-09,"6","Acss2"
"Pla2g1b.5",6.8544900730236e-14,-0.689550551182283,0.264,0.362,1.91912013064515e-09,"6","Pla2g1b"
"Tnc.6",6.8992411482078e-14,-0.65779397199699,0.031,0.185,1.93164953667522e-09,"6","Tnc"
"Mblac2",6.93012266498812e-14,0.181999223006546,0.142,0.033,1.94029574374337e-09,"6","Mblac2"
"S100a16.5",7.02327135287969e-14,-0.487604939089264,0.567,0.564,1.96637551337926e-09,"6","S100a16"
"Aard.6",7.76771257492006e-14,-0.408327468811816,0.024,0.172,2.17480416672612e-09,"6","Aard"
"Ucp2.6",7.85045263196735e-14,0.21934963466237,0.846,0.623,2.19796972789822e-09,"6","Ucp2"
"Pir.3",8.24006455573312e-14,0.269337607675343,0.331,0.148,2.30705327431416e-09,"6","Pir"
"Krtcap2.2",8.27045502319132e-14,-0.329302012452505,0.705,0.831,2.31556199739311e-09,"6","Krtcap2"
"Pde5a.6",8.66518318369329e-14,-0.650776964480301,0.047,0.217,2.42607798777045e-09,"6","Pde5a"
"Ampd3",8.70270711947248e-14,0.170213325103171,0.122,0.029,2.43658393930991e-09,"6","Ampd3"
"Slc7a2.1",8.81242964354363e-14,0.19043930899021,0.177,0.044,2.46730405159935e-09,"6","Slc7a2"
"Arpc3.5",8.86188503316546e-14,-0.362591601329948,0.74,0.809,2.48115057158566e-09,"6","Arpc3"
"Pdxk",9.0379857620347e-14,0.201994688750422,0.161,0.04,2.53045525365447e-09,"6","Pdxk"
"D230025D16Rik.5",9.07283827513027e-14,0.272749559615001,0.402,0.189,2.54021326027097e-09,"6","D230025D16Rik"
"Arhgap29.6",9.70006608666981e-14,-0.340378025335016,0.102,0.29,2.71582450294581e-09,"6","Arhgap29"
"C1qtnf6.6",1.00012646878123e-13,-0.281979100076496,0.047,0.208,2.80015408729368e-09,"6","C1qtnf6"
"Ddx20",1.00511238710433e-13,0.209747888470267,0.169,0.055,2.81411366141469e-09,"6","Ddx20"
"Slc7a6",1.01216323742766e-13,0.227091880523726,0.205,0.075,2.83385463214998e-09,"6","Slc7a6"
"Pcyt1a",1.0253584549654e-13,0.282865253125982,0.343,0.174,2.87079860221213e-09,"6","Pcyt1a"
"C1qtnf2.6",1.07287780539695e-13,-0.395583435311242,0.028,0.182,3.00384327955039e-09,"6","C1qtnf2"
"Rps27.4",1.09765055441903e-13,-0.285929661602379,1,0.999,3.0732020222624e-09,"6","Rps27"
"Cdh5.6",1.10704479344805e-13,-0.852955075900156,0.031,0.151,3.09950401269586e-09,"6","Cdh5"
"Idh3a.1",1.14770392686141e-13,0.29772560235129,0.437,0.276,3.21334145442656e-09,"6","Idh3a"
"Muc1.6",1.16723173343508e-13,-0.420797815642681,0.421,0.467,3.26801540727155e-09,"6","Muc1"
