"","X12.5","X13","X13.5","X14","X14.5","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"Cre06.g253300",3.77262342059392,3.57200375345181,3.49646305182285,3.25776579644425,3.47323770937789,3.32844887330582,3.38098780079876,3.72545030522419,3.68823032739498,3.41860858587294,3.36087976603321,3.25998336880034,3.1255823138313,3.17058851402072,3.07458902856543
"Cre06.g254650",2.76699795249846,2.50505601751232,2.57445993634216,2.59369286372178,2.65477146386788,2.46272915322551,2.51672031106632,2.7035461677303,2.60982550820997,2.46217158273853,2.49571421108481,2.3557116603845,2.30312990344059,2.26636481664316,2.17429645314764
"Cre06.g255050",3.24664177021361,3.14258568459362,2.79810382496271,2.54017725603016,2.43060550172858,2.39915800215329,2.25581245021486,2.10680973133414,1.88375271830702,1.96282647015813,1.92065347555997,2.16018457112858,2.89576900281352,2.11120522745587,1.58180571921521
"Cre06.g256300",5.34594530798797,5.21477049113947,5.07987674752807,5.18230870866479,5.15591688089606,4.9888378042489,5.0619994551256,5.20095769653597,5.14619981643276,5.38339504695965,5.34175572840188,5.37790405183252,5.38857892491737,5.36257965736974,5.49299032550576
"Cre06.g257150",11.2210447979112,11.4480981711619,11.4569625265683,11.5043245174031,11.5763037622308,11.6144212497393,11.7534416945755,11.4074100278644,11.3074276305913,10.9877063625431,11.1210205913405,10.5980715577492,10.5234602809427,10.6786821707301,10.512453116462
"Cre06.g257601",9.5809900179169,9.18444024026881,9.64104050962809,9.69394373294272,9.78717735919629,9.57291009691851,9.59211426529761,9.35817783463334,9.39399986038689,8.59437006765871,8.42671877885826,7.97460146402598,7.65358573692681,6.61850872232055,6.20483424516397
"Cre06.g259600",5.08847052600235,5.12274449191841,5.28640312536523,5.4015003143558,5.51353389041672,5.50306622070407,5.52238188130208,5.62754904098039,5.49259039608986,5.73899026579948,5.73469280973424,5.89698742545428,5.87969628240084,6.14389583827288,5.82421214075898
"Cre06.g259900",8.8569068139234,8.67250178089443,8.80582019096388,8.83384991401413,8.92843501682635,9.00037453588843,9.21386071192839,9.46384678975468,9.86229005151,9.63195270068637,9.75760951719911,9.74590566118863,9.79876674244815,9.47678053028792,10.0530771391905
"Cre06.g260100",6.85306293061966,6.39369116213298,6.14706492521119,5.8591981186942,5.69999253884137,5.51669274411272,5.37924967888896,5.02548570009116,4.57891456716557,4.18021975868951,3.9556193157736,3.64524906462119,3.93574682451911,3.35457727470586,2.90114043094073
"Cre06.g260400",4.82548705865949,4.85371321663508,5.28155846805555,5.26672144736784,5.44100143976861,5.13073243991393,5.28439397562065,5.53616840255395,5.43494612218655,5.28775322510146,5.25512785192061,5.17475480444243,5.08584200830549,5.18003444709088,5.23920217499257
"Cre06.g260450",1.78380192758376,2.13767117285356,3.18839583791571,3.56050086008383,3.81809141361664,3.74011890635824,3.99123776853559,4.27198793852346,4.34302750439888,4.55770139159327,4.46043968267573,4.40119467210295,4.39784029718671,4.37090917385951,5.37135345075121
"Cre06.g260700",0.104083812264362,0.0745711399984143,0.0626933026829069,0.0322345086842213,0.0711086809019117,0.017952691871064,0.00881845152474922,0.116140040322766,0.019498989398755,0.0824703532283931,0.0223719106121989,0.0353320503893948,0.0351259609102221,0.00974421479568008,0.094263763387201
"Cre06.g260950",5.37082026457133,5.28150729685977,5.1166051000078,4.96924613671117,4.8126213612445,4.61990507836558,4.59467168721642,4.5055132471773,4.28524565855377,4.4035610055292,4.18715534316383,4.26341464500277,4.19563979863564,4.09861186111871,3.93727308444457
"Cre06.g261800",4.78180230624851,4.59053939531371,4.94513478369998,5.02288857279706,5.00582999951361,4.81645780525551,4.82302115375949,4.94420070266815,4.94939275882548,4.91770060073133,4.82441008849529,5.00214948126315,4.8747295235643,4.63409378478896,5.02739229635313
"Cre06.g262250",5.47144489957383,5.26809255280052,5.24077666766471,5.15182178574477,5.20573502905481,5.12724114827014,5.0089986623452,5.1225514347088,4.95166249525957,4.97289875833945,4.75965416338341,4.77433587817416,4.74459669110908,4.7452644982628,4.6025838304466
"Cre06.g262700",8.08899825264541,8.15563728812243,8.30748945521472,8.25272340281073,8.16399708681939,8.04945890671278,7.85008223882519,7.64775782036541,7.39983196984657,7.10602547066821,6.98704935377495,6.62605476650628,6.59654734189355,6.62507585045805,6.46332898620495
"Cre06.g264200",7.30671081840178,7.25624119227921,7.14877150327908,7.0278130313005,6.95100980647119,6.84579840922748,6.83918809575312,7.0442097535035,7.28441883142625,7.45317419959826,7.65010441212287,7.68511203904655,7.80238841010868,7.92262031002388,7.89388007243875
"Cre06.g265602",2.62835098760943,2.69203941311557,2.98359871673614,2.97624133721524,3.03687113541186,3.00717798127227,2.96069947925156,3.19710074264161,3.37452628691283,3.21683102451986,3.37093820549765,3.67983248621736,4.3008732509542,3.85797303538688,3.64246066642952
"Cre06.g265900",2.15081211281416,1.47363483252716,1.72710440050014,1.7544678309322,2.01940595386226,1.83012547702907,2.0711977326717,1.9726423168293,2.14051155186104,1.76427565801394,1.7289455236576,1.59215919243736,1.4672629685508,1.66434356648499,2.02949156668668
"Cre06.g267500",7.03861265759323,6.4741449317642,5.94481413583642,5.76705871073735,5.64168818270064,5.57342572976357,5.53753470702623,5.44053083388464,5.41649878976088,5.0626351781516,5.03173744960866,4.73037947153408,4.84544014778767,4.83494552305704,4.56545381636912
