"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X11.5","X12"
"Cre14.g619350",4.72933546465389,4.42747619370996,4.64443091513025,4.53120351137952,4.45790599587725,4.45800062054802,4.42650706179963,4.33471830608326,3.8952289888775,3.92001867468833,3.89431078672978,3.77749821609346,3.93409520393194
"Cre14.g619950",4.56368524401967,4.44514880000164,4.0002936639094,4.02120091260133,3.93150541465683,4.32914609285608,4.41775958751845,4.29864255871231,4.26841173955533,4.12732822172963,4.09663002881611,3.87538276507724,3.61173540958515
"Cre14.g620300",7.28485772742631,7.08457836856936,6.78922198757629,6.46312241986674,6.13862346019972,6.11675763765166,5.80411811797673,5.38521985017153,4.75011644595908,4.18710382152259,4.21594582166449,4.29355495811437,4.35408413197973
"Cre14.g620400",3.72739228313973,4.52233579643936,4.41897902985271,4.60078341066853,4.79529748253422,4.46925687678434,4.67539561848133,5.03595855761903,5.48078943276622,5.67826306395149,5.8020870563851,6.10800152137807,5.8399381819818
"Cre14.g621450",11.139578558209,11.2981602940785,11.0548322394267,11.01908754307,11.0468585221381,10.8642353500802,10.7953265236083,10.6963129141904,10.779311711548,10.6876995843528,10.896109093749,10.9675854363982,11.0792279464206
"Cre14.g625750",5.80034757633317,5.89343523375467,5.72098404129929,5.41189696720674,5.26762577917284,5.36699992906994,5.45514343838452,5.50889708185921,5.63551017337931,5.89676061184615,5.86590000450741,5.84423874037058,5.87146182963418
"Cre14.g625802",3.64161364483818,2.9286720394071,2.78091233458946,2.59492492761441,2.56623742347044,2.62741416295355,2.80675698636165,3.10654569241261,3.21987140157524,3.61018355267324,3.5288940805905,3.37779004833767,3.38244494896126
"Cre14.g626700",10.6062972104204,11.5749747140695,11.7130602230541,11.7271396514286,11.9611175267281,11.7256670523761,11.5614143059931,11.2868959098657,10.9869255500622,10.0850403329897,9.9778985869694,10.2442520185719,10.4557238018172
"Cre14.g627800",2.98685430756094,3.78732143569715,3.57941166883763,3.65310482177542,3.36580831840029,3.81271861279515,3.6716777040819,3.71873039975552,3.84298394615731,4.41227852615549,4.71386013075762,4.63208554498443,4.60726855579069
"Cre14.g627850",6.7014090742013,6.81753018777673,6.53207680146274,6.06287621908111,5.52970346334002,5.39579713238821,4.96836595860927,4.46007905038629,4.42051984657192,5.12907853746871,5.53480520425901,5.56195034465392,5.73615731680374
"Cre14.g627900",5.56640170132225,5.79970190598722,5.42609342114739,5.31231794129423,5.34548220525881,5.28561226118133,5.39578253461072,5.33219260099561,5.57356004866167,6.03681562668917,6.26676133141544,6.4316052761225,6.36948675839058
"Cre14.g629650",6.49308100950938,7.0031427653249,6.89678373655115,6.68735100355888,6.27542398262593,6.13572945233102,5.77420043257251,5.2404584996152,4.47523901876426,4.45274103917346,4.93301548207391,4.99197636675919,5.19689974063338
"Cre14.g631250",1.21974242247645,1.0230569178537,1.08020196293001,1.39213262946021,1.52855355195195,1.49234844387049,1.32065509233017,1.14900359825103,0.835637626874381,0.830612568413331,0.831038931109438,0.742342339433072,0.776400014557339
"Cre14.g632775",3.92618803576237,4.20804491596309,4.51838201744601,4.93561407575231,4.79825161899146,5.05441228442772,5.14396561854913,5.58602662350694,5.82734033228571,6.32502573536913,6.32644255850056,6.19585559319462,6.15150769875362
"Cre14.g633100",2.26558622477732,2.40197306890585,2.34498668951159,2.26547359147229,2.03266810431921,2.33084630109965,2.07391179951569,2.22082307271631,2.62044812581123,2.77838130657981,2.76610205399318,2.81986685970777,2.80818958275658
"Cre15.g635200",4.08848548101423,3.26116035225357,2.95902242105259,2.97027343819481,2.94081567051597,3.24235546879422,2.96418599064409,2.7328044241978,2.81177279502234,3.13942235822548,3.5078325768019,3.68262264980004,3.45126497922941
"Cre15.g635350",4.84869549533733,4.65057710300216,4.50982872051847,4.15869160842898,3.75649156162624,3.74241966229123,3.52236289589724,3.30702251037068,3.1283333460695,3.38418308615266,3.54184602965136,3.54152927874428,3.60178735243817
"Cre15.g636400",3.40382332593482,3.78499887237808,3.64924988950363,3.85301866090315,3.70785381662845,3.64528610972533,3.53971593757471,3.56013376729778,3.6009739241963,3.8748441583747,3.74807860094241,3.89139232729936,3.81357183284143
"Cre15.g636896",5.41602817401661,4.50175670732984,4.12291015246578,3.59563869588723,3.20308328069478,3.13782407211544,2.69205495891811,2.33050080602577,2.31405141259281,2.97140959925229,3.40708619853351,3.35650158298675,3.35568894471256
"Cre15.g637100",4.50132286754124,5.18316113444668,5.56217303775745,6.30858900438342,6.3115338940597,6.45010061040716,6.17996924085682,5.81319474422142,5.273405514985,4.79957781881295,4.25604895532006,3.98674416448524,3.72984457475187
"Cre15.g638500",7.34992285765736,7.79227317179319,7.73444183340075,7.67697121712376,7.85064393138512,8.09211948050356,8.39540724092006,8.56433143056343,8.62583933415789,8.67865487967198,8.54131710462632,8.43845419671513,8.5220310379476
"Cre15.g639150",1.80435731831008,2.70889520930255,3.0853490193823,3.6009018015365,3.7603546722799,4.03458125781877,4.20914663551815,4.50694023175096,4.62481980129747,4.7751685393826,4.64832392490954,4.34132790447105,4.38020033662323
"Cre15.g641000",3.90098180424644,3.77342840522814,3.86928165271069,4.0240828835458,3.76786510052684,3.99601327966328,4.04275057008909,4.32491333742365,4.52574785546976,4.97230128508462,5.07473730999251,4.90733881388548,5.00918136685041
